603659.SH  璞泰来 化工原料  630 3year 当前价格：70.66 估计价格：3070.19
600977.SH  中国电影 影视音像  630 4year 当前价格：12.41 估计价格：13.23
600703.SH  三安光电 半导体  630 24year 当前价格：19.46 估计价格：37.19
002884.SZ  凌霄泵业 专用机械  630 3year 当前价格：14.74 估计价格：23.21
300703.SZ  创源文化 文教休闲  630 3year 当前价格：11.12 估计价格：21.94
002035.SZ  华帝股份 家用电器  620 16year 当前价格：11.83 估计价格：35.88
002739.SZ  万达电影 影视音像  610 5year 当前价格：15.05 估计价格：17.23
000921.SZ  海信家电 家用电器  610 21year 当前价格：9.48 估计价格：49.49
600273.SH  嘉化能源 化工原料  610 17year 当前价格：9.13 估计价格：61.93
002475.SZ  立讯精密 元器件  610 10year 当前价格：38.16 估计价格：103.57
600486.SH  扬农化工 农药化肥  610 18year 当前价格：67.41 估计价格：75.88
600176.SH  中国巨石 玻璃  610 21year 当前价格：8.52 估计价格：25.30
603303.SH  得邦照明 家用电器  610 3year 当前价格：8.91 估计价格：22.71
002262.SZ  恩华药业 化学制药  600 12year 当前价格：13.53 估计价格：24.45
600511.SH  国药股份 医药商业  600 18year 当前价格：35.78 估计价格：55.86
300690.SZ  双一科技 电气设备  600 3year 当前价格：23.40 估计价格：69.83
300596.SZ  利安隆 化工原料  600 3year 当前价格：30.83 估计价格：79.60
000661.SZ  长春高新 生物制药  600 24year 当前价格：542.20 估计价格：519.70
600352.SH  浙江龙盛 染料涂料  600 17year 当前价格：11.97 估计价格：34.95
002008.SZ  大族激光 电器仪表  600 16year 当前价格：28.37 估计价格：1783.28
300497.SZ  富祥股份 化学制药  600 5year 当前价格：30.47 估计价格：44.11
300396.SZ  迪瑞医疗 医疗保健  590 6year 当前价格：20.70 估计价格：28.37
601006.SH  大秦铁路 铁路  590 14year 当前价格：6.76 估计价格：9.81
600426.SH  华鲁恒升 农药化肥  590 18year 当前价格：15.70 估计价格：28.54
000049.SZ  德赛电池 电气设备  590 25year 当前价格：34.24 估计价格：106.09
300121.SZ  阳谷华泰 化工原料  590 10year 当前价格：6.83 估计价格：11.82
000055.SZ  方大集团 其他建材  590 24year 当前价格：4.61 估计价格：8.57
603811.SH  诚意药业 化学制药  590 3year 当前价格：25.93 估计价格：37.46
603737.SH  三棵树 染料涂料  590 4year 当前价格：106.92 估计价格：81.96
603881.SH  数据港 电信运营  580 3year 当前价格：48.37 估计价格：41.70
600197.SH  伊力特 白酒  580 21year 当前价格：12.78 估计价格：16.28
601633.SH  长城汽车 汽车整车  580 9year 当前价格：7.95 估计价格：14.24
300144.SZ  宋城演艺 旅游景点  580 10year 当前价格：25.98 估计价格：45.15
002918.SZ  蒙娜丽莎 其他建材  580 3year 当前价格：24.04 估计价格：64.91
603968.SH  醋化股份 化工原料  580 5year 当前价格：13.78 估计价格：17.06
600332.SH  白云山 中成药  580 19year 当前价格：31.55 估计价格：85.89
300510.SZ  金冠股份 电气设备  570 4year 当前价格：4.92 估计价格：18.62
600674.SH  川投能源 水力发电  570 27year 当前价格：8.64 估计价格：55.81
603136.SH  天目湖 旅游景点  570 3year 当前价格：24.58 估计价格：31.72
600522.SH  中天科技 通信设备  570 18year 当前价格：9.46 估计价格：19.14
002768.SZ  国恩股份 塑料  570 5year 当前价格：46.67 估计价格：60.85
002773.SZ  康弘药业 化学制药  570 5year 当前价格：38.07 估计价格：26.94
300170.SZ  汉得信息 软件服务  570 9year 当前价格：9.41 估计价格：14.86
603776.SH  永安行 公共交通  570 3year 当前价格：18.15 估计价格：636.25
000069.SZ  华侨城A 旅游景点  560 23year 当前价格：6.24 估计价格：35.70
300450.SZ  先导智能 专用机械  560 5year 当前价格：37.46 估计价格：104.11
600068.SH  葛洲坝 建筑工程  560 23year 当前价格：6.98 估计价格：18.66
002051.SZ  中工国际 建筑工程  560 14year 当前价格：7.89 估计价格：25.48
002085.SZ  万丰奥威 汽车配件  560 14year 当前价格：6.68 估计价格：22.35
603360.SH  百傲化学 化工原料  560 3year 当前价格：28.65 估计价格：61.82
002664.SZ  长鹰信质 汽车配件  560 8year 当前价格：13.65 估计价格：34.83
300547.SZ  川环科技 橡胶  550 4year 当前价格：8.08 估计价格：11.95
300546.SZ  雄帝科技 元器件  550 4year 当前价格：23.92 估计价格：23.02
603527.SH  众源新材 铜  550 3year 当前价格：13.95 估计价格：33.62
300296.SZ  利亚德 半导体  550 8year 当前价格：5.91 估计价格：21.04
300481.SZ  濮阳惠成 化工原料  550 5year 当前价格：16.67 估计价格：14.82
002128.SZ  露天煤业 煤炭开采  550 13year 当前价格：7.15 估计价格：10.17
603788.SH  宁波高发 汽车配件  550 5year 当前价格：14.13 估计价格：29.54
300677.SZ  英科医疗 医疗保健  550 3year 当前价格：57.20 估计价格：293.42
603638.SH  艾迪精密 专用机械  540 3year 当前价格：35.20 估计价格：29.58
300347.SZ  泰格医药 医疗保健  540 8year 当前价格：64.88 估计价格：193.61
300726.SZ  宏达电子 元器件  540 3year 当前价格：25.40 估计价格：22.44
002849.SZ  威星智能 电器仪表  540 3year 当前价格：12.62 估计价格：18.81
603685.SH  晨丰科技 电气设备  540 3year 当前价格：12.04 估计价格：24.58
603113.SH  金能科技 化工原料  540 3year 当前价格：9.37 估计价格：60.41
601601.SH  中国太保 保险  540 13year 当前价格：27.95 估计价格：37.45
